Participant_ID,Gender,Ethnicity,Language_Status,Father_education_30,Father_education_lang_30,Mother_education_30,Mother_education_lang_30,Chronological_age_30,Input_percent_Eng_home_30,Chronological_age_36,Input_percent_Eng_home_36,Chronological_age_42,Input_percent_Eng_home_42,Chronological_age_48,Input_percent_Eng_home_48
R2130Mo086,1,2,1,4,2,4,2,30.03,30.0,-997.0,-997,41.87,20,48.3,10
R2130Mo087,0,2,1,1,2,4,1,30.57,75.0,36.47,70,42.8,50,48.27,50
R2130Mo088,0,2,1,4,1,2,2,30.03,40.0,36.73,30,42.7,70,47.73,70
R2130Mo090,0,2,1,1,1,3,1,29.8,30.0,-997.0,-997,42.1,80,-997.0,-997
R2130Mo091,1,2,1,2,2,4,2,29.83,0.0,36.53,20,42.0,15,48.23,25
R2130Mo092,1,2,1,3,1,3,1,30.43,50.0,36.43,70,42.1,50,48.07,65
R2130Mo093,1,2,1,2,1,3,2,29.83,70.0,36.17,80,-997.0,-997,48.33,60
R2130Mo094,1,2,1,2,2,2,2,29.83,10.0,36.57,0,41.9,0,47.93,0
R2130Mo095,1,2,1,4,2,4,2,30.27,0.0,36.43,0,42.17,20,48.13,10
R2130Mo096,0,2,1,3,1,3,2,30.33,5.0,-997.0,-997,42.43,0,48.63,0
R2130Mo097,1,2,1,2,1,4,1,30.6,80.0,36.73,95,42.5,90,48.3,80
R2130Mo098,1,2,1,4,1,4,2,30.6,50.0,-997.0,-997,-997.0,-997,-997.0,-997
R2130Mo100,0,2,1,3,2,3,2,30.67,40.0,-997.0,-997,-997.0,-997,-997.0,-997
R2130Mo101,0,2,1,4,1,4,1,29.97,85.0,36.93,80,42.23,90,48.13,80
R2130Mo102,0,2,1,2,1,2,1,30.4,60.0,-997.0,-997,42.93,70,48.77,50
R2130Mo103,0,2,1,3,1,2,2,30.3,40.0,36.97,50,42.97,20,48.57,15
R2130Mo104,0,2,1,4,3,3,3,29.87,10.0,36.43,30,42.33,15,47.77,15
R2130Mo105,1,2,1,4,1,2,2,30.4,20.0,36.73,20,-997.0,-997,48.17,15
