item,itemID,type,choices,complexity_category,definition,gloss
book,item_152,TOYS,produces; doesn't produce,,book,book
liathróid,item_153,TOYS,produces; doesn't produce,,liathróid_caid_peil,(foot)ball
(foot)ball,item_154,TOYS,produces; doesn't produce,,(foot)ball,(foot)ball
míreannamearaí,item_155,TOYS,produces; doesn't produce,,míreannamearaí,jigsaw
jigsaw,item_156,TOYS,produces; doesn't produce,,jigsaw,jigsaw
peann,item_157,TOYS,produces; doesn't produce,,peann,pen
pen,item_158,TOYS,produces; doesn't produce,,pen,pen
peannluaidhe,item_159,TOYS,produces; doesn't produce,,peannluaidhe,pencil
pencil,item_160,TOYS,produces; doesn't produce,,pencil,pencil
scéal,item_161,TOYS,produces; doesn't produce,,scéal,Story
story,item_162,TOYS,produces; doesn't produce,,story,story
sliotarie,item_163,TOYS,produces; doesn't produce,,sliotarie,sliotarie
anraith,item_164,FOOD AND DRINK,produces; doesn't produce,,anraith_súp,soup
soup,item_165,FOOD AND DRINK,produces; doesn't produce,,soup,soup
arán,item_166,FOOD AND DRINK,produces; doesn't produce,,arán_builín,bread
bread,item_167,FOOD AND DRINK,produces; doesn't produce,,bread,bread
bagún,item_168,FOOD AND DRINK,produces; doesn't produce,,bagún,bacon
bacon,item_169,FOOD AND DRINK,produces; doesn't produce,,bacon,bacon
bainne,item_170,FOOD AND DRINK,produces; doesn't produce,,bainne,milk
milk,item_171,FOOD AND DRINK,produces; doesn't produce,,milk,milk
banana,item_172,FOOD AND DRINK,produces; doesn't produce,,banana_ie,banana
bia,item_173,FOOD AND DRINK,produces; doesn't produce,,bia,food
food,item_174,FOOD AND DRINK,produces; doesn't produce,,food,food
bocaire,item_175,FOOD AND DRINK,produces; doesn't produce,,bocaire_muifín,muffin
muffin,item_176,FOOD AND DRINK,produces; doesn't produce,,muffin,muffin
burgar,item_177,FOOD AND DRINK,produces; doesn't produce,,burgar_burgar_ie,burgar
briosca,item_178,FOOD AND DRINK,produces; doesn't produce,,briosca,briosca
biscuit,item_179,FOOD AND DRINK,produces; doesn't produce,,biscuit,biscuit
cabáiste,item_180,FOOD AND DRINK,produces; doesn't produce,,cabáiste,cabbage
cabbage,item_181,FOOD AND DRINK,produces; doesn't produce,,cabbage,cabbage
cáca,item_182,FOOD AND DRINK,produces; doesn't produce,,cáca_císte,cake
cake,item_183,FOOD AND DRINK,produces; doesn't produce,,cake,cake
coffee,item_184,FOOD AND DRINK,produces; doesn't produce,,coffee_caife,coffee
cairéid,item_185,FOOD AND DRINK,produces; doesn't produce,,cairéid_cairéidí,carrot
carrot,item_186,FOOD AND DRINK,produces; doesn't produce,,carrot_carrots,carrot
