child_ID,count,unique,top,freq
R2130Mo122_36.0,558.0,3.0,0.0,278.0
R2130Mo123_36.0,558.0,3.0,0.0,386.0
R2130Mo128_36.0,558.0,3.0,0.0,321.0
R2130Mo129_36.0,558.0,3.0,1.0,289.0
R2130Mo132_36.0,558.0,3.0,1.0,379.0
R2130Mo133_36.0,558.0,3.0,0.0,286.0
R2130Mo135_36.0,558.0,3.0,0.0,345.0
R2130Mo136_36.0,558.0,3.0,1.0,445.0
R2130Mo137_36.0,558.0,3.0,1.0,291.0
R2130Mo138_36.0,558.0,3.0,1.0,532.0
R2130Mo139_36.0,558.0,3.0,1.0,319.0
R2130Mo141_36.0,558.0,3.0,1.0,450.0
R2130Mo143_36.0,558.0,3.0,1.0,321.0
R2130Mo144_36.0,558.0,3.0,1.0,281.0
R2130Mo145_36.0,558.0,3.0,0.0,365.0
HDPM051_30.0,558.0,3.0,1.0,474.0
HDPM052_30.0,558.0,3.0,1.0,543.0
HDPM054_30.0,558.0,3.0,0.0,330.0
HDPM056_30.0,558.0,3.0,0.0,342.0
HDPM057_30.0,558.0,3.0,0.0,331.0
HDPM058_30.0,558.0,3.0,0.0,393.0
HDPM059_30.0,558.0,3.0,0.0,495.0
HDPM060????_30.0,558.0,3.0,0.0,301.0
HDPM061_30.0,558.0,3.0,1.0,488.0
HDPM062_30.0,558.0,3.0,0.0,398.0
HDPM063_30.0,558.0,3.0,1.0,298.0
HDPM064_30.0,558.0,3.0,1.0,490.0
HDPM065_30.0,558.0,3.0,1.0,426.0
HDPM066_30.0,558.0,3.0,1.0,319.0
HDPM068_30.0,558.0,3.0,0.0,307.0
HDPM069_30.0,558.0,3.0,0.0,302.0
HDPM070_30.0,558.0,3.0,1.0,328.0
HDPM071_30.0,557.0,3.0,1.0,369.0
HDPM072_30.0,558.0,3.0,1.0,501.0
HDPM076_30.0,558.0,3.0,1.0,334.0
HDPM077_30.0,558.0,3.0,0.0,474.0
HDPM078_30.0,558.0,2.0,0.0,501.0
HDPM079_30.0,558.0,3.0,0.0,371.0
HDPM080_30.0,558.0,3.0,1.0,372.0
HDPM081_30.0,558.0,3.0,0.0,493.0
HDPM082_30.0,558.0,3.0,0.0,347.0
HDPM083_30.0,558.0,3.0,0.0,300.0
HDPM084_30.0,558.0,3.0,1.0,324.0
HDPM085_30.0,558.0,3.0,1.0,465.0
HDPM086_30.0,558.0,3.0,0.0,499.0
HDPM087_30.0,558.0,3.0,1.0,305.0
HDPM088_30.0,558.0,3.0,1.0,386.0
HDPM091_30.0,558.0,3.0,1.0,307.0
HDPM092_30.0,558.0,2.0,0.0,513.0
HDPM093_30.0,557.0,3.0,0.0,353.0
HDPM094_30.0,558.0,3.0,0.0,454.0
HDPM097_30.0,558.0,3.0,0.0,431.0
HDPM098_30.0,558.0,3.0,1.0,295.0
HDPM099_30.0,558.0,3.0,1.0,496.0
HDPM100_30.0,558.0,3.0,1.0,446.0
HDPM131_30.0,558.0,3.0,1.0,492.0
HDPM132_30.0,558.0,3.0,0.0,520.0
HDPM133_30.0,558.0,3.0,0.0,347.0
HDPM134_30.0,558.0,3.0,1.0,434.0
HDPM135_30.0,558.0,3.0,1.0,313.0
HDPM136_30.0,558.0,3.0,0.0,533.0
HDPM137_30.0,558.0,2.0,0.0,524.0
HDPM138_30.0,558.0,3.0,1.0,504.0
HDPM052_22.0,558.0,3.0,1.0,543.0
HDPM054_22.0,558.0,3.0,0.0,330.0
HDPM056_22.0,558.0,3.0,0.0,342.0
HDPM057_22.0,558.0,3.0,0.0,331.0
HDPM058_22.0,558.0,3.0,0.0,393.0
HDPM059_22.0,558.0,3.0,0.0,495.0
HDPM060????_22.0,558.0,3.0,0.0,301.0
HDPM061_22.0,558.0,3.0,1.0,488.0
HDPM062_22.0,558.0,3.0,0.0,398.0
HDPM063_22.0,558.0,3.0,1.0,298.0
HDPM064_22.0,558.0,3.0,1.0,490.0
HDPM065_22.0,558.0,3.0,1.0,426.0
HDPM066_22.0,558.0,3.0,1.0,319.0
HDPM068_22.0,558.0,3.0,0.0,307.0
HDPM069_22.0,558.0,3.0,0.0,302.0
HDPM070_22.0,558.0,3.0,1.0,328.0
HDPM071_22.0,557.0,3.0,1.0,369.0
HDPM072_22.0,558.0,3.0,1.0,501.0
HDPM076_22.0,558.0,3.0,1.0,334.0
HDPM077_22.0,558.0,3.0,0.0,474.0
HDPM078_22.0,558.0,2.0,0.0,501.0
HDPM079_22.0,558.0,3.0,0.0,371.0
HDPM080_22.0,558.0,3.0,1.0,372.0
HDPM081_22.0,558.0,3.0,0.0,493.0
HDPM082_22.0,558.0,3.0,0.0,347.0
HDPM083_22.0,558.0,3.0,0.0,300.0
HDPM084_22.0,558.0,3.0,1.0,324.0
HDPM085_22.0,558.0,3.0,1.0,465.0
HDPM086_22.0,558.0,3.0,0.0,499.0
HDPM087_22.0,558.0,3.0,1.0,305.0
HDPM088_22.0,558.0,3.0,1.0,386.0
HDPM091_22.0,558.0,3.0,1.0,307.0
HDPM092_22.0,558.0,2.0,0.0,513.0
HDPM093_22.0,557.0,3.0,0.0,353.0
HDPM094_22.0,558.0,3.0,0.0,454.0
HDPM097_22.0,558.0,3.0,0.0,431.0
HDPM098_22.0,558.0,3.0,1.0,295.0
HDPM099_22.0,558.0,3.0,1.0,496.0
HDPM100_22.0,558.0,3.0,1.0,446.0
HDPM131_22.0,558.0,3.0,1.0,492.0
HDPM132_22.0,558.0,3.0,0.0,520.0
HDPM133_22.0,558.0,3.0,0.0,347.0
HDPM134_22.0,558.0,3.0,1.0,434.0
HDPM135_22.0,558.0,3.0,1.0,313.0
HDPM136_22.0,558.0,3.0,0.0,533.0
HDPM137_22.0,558.0,2.0,0.0,524.0
HDPM138_22.0,558.0,3.0,1.0,504.0
HDPM052_25.0,558.0,3.0,1.0,543.0
HDPM054_25.0,558.0,3.0,0.0,330.0
HDPM056_25.0,558.0,3.0,0.0,342.0
HDPM057_25.0,558.0,3.0,0.0,331.0
HDPM058_25.0,558.0,3.0,0.0,393.0
HDPM059_25.0,558.0,3.0,0.0,495.0
HDPM060????_25.0,558.0,3.0,0.0,301.0
HDPM061_25.0,558.0,3.0,1.0,488.0
HDPM062_25.0,558.0,3.0,0.0,398.0
HDPM063_25.0,558.0,3.0,1.0,298.0
HDPM064_25.0,558.0,3.0,1.0,490.0
HDPM065_25.0,558.0,3.0,1.0,426.0
HDPM066_25.0,558.0,3.0,1.0,319.0
HDPM068_25.0,558.0,3.0,0.0,307.0
HDPM069_25.0,558.0,3.0,0.0,302.0
HDPM070_25.0,558.0,3.0,1.0,328.0
HDPM071_25.0,557.0,3.0,1.0,369.0
HDPM072_25.0,558.0,3.0,1.0,501.0
HDPM076_25.0,558.0,3.0,1.0,334.0
HDPM077_25.0,558.0,3.0,0.0,474.0
HDPM078_25.0,558.0,2.0,0.0,501.0
HDPM079_25.0,558.0,3.0,0.0,371.0
HDPM080_25.0,558.0,3.0,1.0,372.0
HDPM081_25.0,558.0,3.0,0.0,493.0
HDPM082_25.0,558.0,3.0,0.0,347.0
HDPM083_25.0,558.0,3.0,0.0,300.0
HDPM084_25.0,558.0,3.0,1.0,324.0
HDPM085_25.0,558.0,3.0,1.0,465.0
HDPM086_25.0,558.0,3.0,0.0,499.0
HDPM087_25.0,558.0,3.0,1.0,305.0
HDPM088_25.0,558.0,3.0,1.0,386.0
HDPM090_25.0,558.0,3.0,1.0,310.0
HDPM091_25.0,558.0,3.0,1.0,307.0
HDPM092_25.0,558.0,2.0,0.0,513.0
HDPM093_25.0,557.0,3.0,0.0,353.0
HDPM094_25.0,558.0,3.0,0.0,454.0
HDPM096_25.0,558.0,3.0,1.0,546.0
HDPM097_25.0,558.0,3.0,0.0,431.0
HDPM098_25.0,558.0,3.0,1.0,295.0
HDPM099_25.0,558.0,3.0,1.0,496.0
HDPM100_25.0,558.0,3.0,1.0,446.0
HDPM110_25.0,558.0,3.0,0.0,422.0
HDPM131_25.0,558.0,3.0,1.0,492.0
HDPM132_25.0,558.0,3.0,0.0,520.0
