,age_21,age_22,age_23,age_24,age_25,age_26
baby,0.5,0.5,0.69,0.82,0.73,1.0
babysitter,0.0,0.0,0.12,0.06,0.0,0.0
babysitter's name,0.0,0.0,0.31,0.35,0.27,0.0
boy,0.0,0.25,0.19,0.47,0.45,0.0
brother,0.0,0.0,0.06,0.12,0.18,0.0
child,0.0,0.0,0.06,0.06,0.09,0.0
clown,0.0,0.0,0.12,0.12,0.0,0.0
cowboy,0.0,0.0,0.06,0.06,0.0,0.0
daddy,0.5,0.5,0.69,0.88,0.64,1.0
doctor,0.0,0.0,0.19,0.24,0.27,0.0
firemen,0.0,0.0,0.19,0.18,0.09,0.0
friend,0.0,0.0,0.06,0.24,0.09,0.0
girl,0.0,0.0,0.12,0.41,0.36,0.0
grandma,1.0,0.25,0.56,0.76,0.82,0.0
grandpa,0.5,0.25,0.5,0.71,0.82,0.0
lady,0.0,0.0,0.12,0.24,0.0,0.0
mailman,0.0,0.0,0.12,0.06,0.0,0.0
man,0.0,0.0,0.19,0.24,0.27,0.0
mommy,1.0,0.5,0.62,0.94,0.82,1.0
nurse,0.0,0.0,0.06,0.06,0.0,0.0
child's own name,0.5,0.0,0.5,0.65,0.91,0.0
people,0.0,0.0,0.19,0.24,0.0,0.0
person,0.0,0.0,0.12,0.06,0.0,0.0
pet's name,0.5,0.0,0.12,0.35,0.27,0.0
police,0.0,0.0,0.12,0.12,0.18,0.0
sister,0.0,0.25,0.12,0.12,0.18,0.0
teacher,0.0,0.0,0.06,0.12,0.27,0.0
uncle,0.0,0.0,0.25,0.29,0.27,0.0
bath,0.0,0.5,0.44,0.76,0.73,0.0
breakfast,0.0,0.0,0.19,0.24,0.27,0.0
bye,0.5,0.5,0.88,0.82,0.91,1.0
call (on phone),0.0,0.25,0.25,0.29,0.27,0.0
dinner,0.0,0.0,0.19,0.29,0.18,0.0
give me five,0.0,0.25,0.38,0.47,0.27,0.0
gonna get you,0.0,0.0,0.25,0.18,0.36,0.0
go potty,0.0,0.25,0.25,0.29,0.27,0.0
hi,0.5,0.5,0.44,0.76,0.64,0.0
hello,0.0,0.25,0.44,0.65,0.82,1.0
lunch,0.0,0.0,0.31,0.24,0.18,0.0
nap,0.0,0.0,0.31,0.29,0.36,0.0
night night,0.0,0.25,0.12,0.47,0.45,0.0
no,0.5,0.5,0.75,0.76,0.91,1.0
patty cake,0.0,0.0,0.19,0.29,0.09,0.0
peekaboo,0.0,0.25,0.25,0.59,0.55,0.0
please,0.5,0.25,0.62,0.71,0.64,0.0
sh/shush/hush,0.5,0.5,0.69,0.76,0.73,0.0
shopping,0.0,0.0,0.19,0.18,0.09,0.0
snack,0.0,0.0,0.31,0.35,0.45,0.0
so big!,0.0,0.25,0.19,0.35,0.18,0.0
thank you,0.5,0.25,0.62,0.71,0.64,1.0
this little piggy,0.0,0.0,0.12,0.12,0.09,0.0
turn around,0.0,0.0,0.19,0.29,0.09,0.0
yes,0.5,0.5,0.62,0.65,0.64,1.0
bite,0.0,0.5,0.12,0.41,0.45,0.0
blow,0.0,0.25,0.25,0.29,0.36,0.0
break,0.0,0.0,0.19,0.29,0.18,0.0
bring,0.0,0.0,0.25,0.24,0.27,0.0
build,0.0,0.0,0.12,0.06,0.18,0.0
bump,0.0,0.0,0.06,0.18,0.27,0.0
buy,0.0,0.0,0.06,0.06,0.18,0.0
carry,0.0,0.0,0.19,0.29,0.27,0.0
catch,0.0,0.0,0.25,0.24,0.27,0.0
chase,0.0,0.0,0.12,0.18,0.18,0.0
clap,0.0,0.25,0.19,0.29,0.36,0.0
clean,0.0,0.25,0.31,0.35,0.36,0.0
climb,0.0,0.25,0.12,0.24,0.27,0.0
close,0.0,0.25,0.31,0.24,0.36,0.0
cook,0.0,0.0,0.12,0.24,0.18,0.0
cover,0.0,0.0,0.12,0.12,0.18,0.0
cry,0.0,0.25,0.38,0.35,0.27,0.0
cut,0.0,0.25,0.19,0.18,0.18,0.0
dance,0.0,0.5,0.38,0.47,0.45,0.0
draw,0.0,0.25,0.25,0.29,0.18,0.0
drink.1,0.0,0.25,0.31,0.35,0.55,0.0
drive,0.0,0.0,0.12,0.18,0.27,0.0
drop,0.0,0.0,0.06,0.18,0.18,0.0
dry,0.0,0.0,0.06,0.12,0.27,0.0
dump,0.0,0.0,0.06,0.06,0.18,0.0
eat,0.0,0.25,0.56,0.65,0.45,0.0
fall,0.0,0.25,0.31,0.47,0.45,0.0
feed,0.0,0.0,0.12,0.18,0.27,0.0
find,0.0,0.25,0.12,0.18,0.18,0.0
finish,0.0,0.25,0.38,0.53,0.45,0.0
fit ,0.0,0.0,0.06,0.18,0.09,0.0
fix,0.0,0.0,0.12,0.29,0.18,0.0
get,0.0,0.0,0.25,0.24,0.36,0.0
give,0.0,0.0,0.31,0.24,0.36,0.0
go,0.0,0.5,0.62,0.53,0.55,0.0
hate,0.0,0.0,0.0,0.06,0.0,0.0
have,0.0,0.0,0.19,0.24,0.18,0.0
hear,0.0,0.0,0.12,0.24,0.09,0.0
help,0.0,0.25,0.31,0.47,0.27,0.0
hide,0.0,0.25,0.19,0.41,0.18,0.0
hit,0.0,0.25,0.12,0.18,0.36,0.0
hold,0.0,0.25,0.25,0.18,0.27,0.0
hug,0.5,0.25,0.38,0.65,0.36,0.0
hurry,0.0,0.25,0.19,0.18,0.18,0.0
